country_name,Density(P/Km2),Birth Rate,Co2-Emissions,CPI Change (%),Fertility Rate,GDP,Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population,Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Country name,Happiness Score,Social support,Freedom to make life choices,Generosity,Perceptions of corruption
Finland,18,8.6,45871.0,0.01,1.41,268761201365.0,1.4,81.7,3.0,,0.199,3.81,5520314.0,0.208,0.366,0.0659,4716888.0,61.92411,25.748151,Finland,7.842,0.954,0.949,-0.098,0.186
Denmark,137,10.6,31786.0,0.008,1.73,348078018464.0,3.6,81.0,4.0,,0.137,4.01,5818553.0,0.324,0.238,0.0491,5119978.0,56.26392,9.501785,Denmark,7.62,0.954,0.946,0.03,0.179
Switzerland,219,10.0,34477.0,0.004,1.52,703082435360.0,3.7,83.6,5.0,,0.283,4.3,8574832.0,0.101,0.288,0.0458,6332428.0,46.818188,8.227512,Switzerland,7.571,0.942,0.919,0.025,0.292
Iceland,3,12.0,2065.0,0.03,1.71,24188035739.0,1.5,82.7,4.0,,0.17,4.08,361313.0,0.233,0.319,0.0284,339110.0,64.963051,-19.020835,Iceland,7.554,0.983,0.955,0.16,0.673
Netherlands,508,9.7,170780.0,0.026,1.59,909070395161.0,3.3,81.8,5.0,10.29,0.123,3.61,17332850.0,0.23,0.412,0.032,15924729.0,52.132633,5.291266,Netherlands,7.464,0.942,0.913,0.175,0.338
Norway,15,10.4,41023.0,0.022,1.56,403336363636.0,2.1,82.8,2.0,,0.143,2.92,5347896.0,0.239,0.362,0.0335,4418218.0,60.472024,8.468946,Norway,7.392,0.954,0.96,0.093,0.27
Sweden,25,11.4,43252.0,0.018,1.76,530832908738.0,2.2,82.5,4.0,,0.152,3.98,10285453.0,0.279,0.491,0.0648,9021165.0,60.128161,18.643501,Sweden,7.363,0.934,0.945,0.086,0.237
Luxembourg,242,10.3,8988.0,0.017,1.37,71104919108.0,1.9,82.1,5.0,13.05,0.106,3.01,645397.0,0.265,0.204,0.0536,565488.0,49.815273,6.129583,Luxembourg,7.324,0.908,0.907,-0.034,0.386
New Zealand,18,11.98,34382.0,0.016,1.71,206928765544.0,4.7,81.9,9.0,11.49,0.126,3.59,4841000.0,0.29,0.346,0.0407,4258860.0,-40.900557,174.885971,New Zealand,7.277,0.948,0.929,0.134,0.242
Austria,109,9.7,61448.0,0.015,1.47,446314739528.0,2.9,81.6,5.0,,0.179,5.17,8877067.0,0.254,0.514,0.0467,5194416.0,47.516231,14.550072,Austria,7.268,0.934,0.908,0.042,0.481
Australia,3,12.6,375908.0,0.016,1.74,1392680589329.0,3.1,82.7,6.0,13.59,0.196,3.68,25766605.0,0.23,0.474,0.0527,21844756.0,-25.274398,133.775136,Australia,7.183,0.94,0.914,0.159,0.442
Israel,400,20.8,65166.0,0.008,3.09,395098666122.0,3.0,82.8,3.0,7.58,0.244,4.62,9053300.0,0.231,0.253,0.0386,8374393.0,31.046051,34.851612,Israel,7.157,0.939,0.8,0.031,0.753
Germany,240,9.5,727973.0,0.014,1.56,3845630030824.0,3.1,80.9,7.0,9.99,0.125,4.25,83132799.0,0.115,0.488,0.0304,64324835.0,51.165691,10.451526,Germany,7.155,0.903,0.875,0.011,0.46
Canada,4,10.1,544894.0,0.019,1.5,1736425629520.0,4.3,81.9,10.0,9.51,0.146,2.61,36991981.0,0.128,0.245,0.0556,30628482.0,56.130366,-106.346771,Canada,7.103,0.926,0.915,0.089,0.415
Costa Rica,100,13.97,8023.0,0.021,1.75,61773944174.0,7.6,80.1,27.0,1.84,0.215,2.89,5047561.0,0.136,0.583,0.1185,4041885.0,9.748917,-83.753428,Costa Rica,7.069,0.891,0.934,-0.126,0.809
United Kingdom,281,11.0,379025.0,0.017,1.68,2827113184696.0,3.6,81.3,7.0,10.13,0.148,2.81,66834405.0,0.255,0.306,0.0385,55908316.0,55.378051,-3.435973,United Kingdom,7.064,0.934,0.859,0.233,0.459
Czech Republic,139,10.7,102218.0,0.028,1.69,246489245495.0,2.7,79.0,3.0,3.0,0.148,4.12,10669709.0,0.149,0.461,0.0193,7887156.0,49.817492,15.472962,Czech Republic,6.965,0.947,0.858,-0.208,0.868
United States,36,11.6,5006302.0,0.075,1.73,21427700000000.0,5.6,78.5,19.0,7.25,0.111,2.61,328239523.0,0.096,0.366,0.147,270663028.0,37.09024,-95.712891,United States,6.951,0.92,0.837,0.098,0.698
Belgium,383,10.3,96889.0,0.014,1.62,529606710418.0,2.9,81.6,5.0,10.31,0.176,3.07,11484055.0,0.24,0.554,0.0559,11259082.0,50.503887,4.469936,Belgium,6.834,0.906,0.783,-0.153,0.646
France,119,11.3,303276.0,0.011,1.88,2715518274227.0,3.4,82.5,8.0,11.16,0.068,3.27,67059887.0,0.242,0.607,0.0843,54123364.0,46.227638,2.213749,France,6.69,0.942,0.822,-0.147,0.571
Bahrain,2239,13.99,31694.0,0.021,1.99,38574069149.0,6.1,77.2,14.0,,0.251,0.93,1501635.0,0.042,0.138,0.0071,1467109.0,26.0667,50.5577,Bahrain,6.647,0.862,0.925,0.089,0.722
Malta,1380,9.2,1342.0,0.016,1.23,14786156563.0,6.1,82.3,6.0,5.07,0.371,2.86,502653.0,0.262,0.44,0.0347,475902.0,35.937496,14.375416,Malta,6.602,0.931,0.927,0.133,0.653
United Arab Emirates,118,10.33,206324.0,-0.019,1.41,421142267938.0,6.5,77.8,3.0,,0.178,2.53,9770529.0,0.001,0.159,0.0235,8479744.0,23.424076,53.847818,United Arab Emirates,6.561,0.844,0.932,0.074,0.589
Saudi Arabia,16,17.8,563449.0,-0.012,2.32,792966838162.0,6.0,75.0,17.0,3.85,0.15,2.61,34268528.0,0.089,0.157,0.0593,28807838.0,23.885942,45.079162,Saudi Arabia,6.494,0.891,0.877,-0.149,0.684
Spain,94,7.9,244002.0,0.007,1.26,1394116310769.0,2.5,83.3,4.0,5.6,0.242,3.87,47076781.0,0.142,0.47,0.1396,37927409.0,40.463667,-3.74922,Spain,6.491,0.932,0.761,-0.081,0.745
Italy,206,7.3,320411.0,0.006,1.29,2001244392042.0,2.6,82.9,2.0,,0.228,3.98,60297396.0,0.243,0.591,0.0989,42651966.0,41.87194,12.56738,Italy,6.483,0.88,0.693,-0.084,0.866
Slovenia,103,9.4,12633.0,0.016,1.6,53742159517.0,1.7,81.0,7.0,5.25,0.125,3.09,2087946.0,0.186,0.31,0.042,1144654.0,46.151241,14.995463,Slovenia,6.461,0.948,0.949,-0.101,0.806
Guatemala,167,24.56,16777.0,0.037,2.87,76710385880.0,22.1,74.1,95.0,1.6,0.558,0.35,16604026.0,0.106,0.352,0.0246,8540945.0,15.783471,-90.230759,Guatemala,6.435,0.813,0.906,-0.038,0.775
Uruguay,20,13.86,6766.0,0.079,1.97,56045912952.0,6.4,77.8,17.0,1.66,0.162,5.05,3461734.0,0.201,0.418,0.0873,3303394.0,-32.522779,-55.765835,Uruguay,6.431,0.925,0.896,-0.092,0.59
Singapore,8358,8.8,37535.0,0.006,1.14,372062527489.0,2.3,83.1,8.0,,0.367,2.29,5703569.0,0.131,0.21,0.0411,5703569.0,1.352083,103.819836,Singapore,6.377,0.915,0.927,-0.018,0.082
Slovakia,114,10.6,32424.0,0.027,1.52,105422304976.0,4.6,77.2,5.0,3.11,0.184,3.42,5454073.0,0.187,0.497,0.0556,2930419.0,48.669026,19.699024,Slovakia,6.331,0.936,0.766,-0.124,0.911
Brazil,25,13.92,462299.0,0.037,1.73,1839758040766.0,12.8,75.7,60.0,1.53,0.283,2.15,212559417.0,0.142,0.651,0.1208,183241641.0,-14.235004,-51.92528,Brazil,6.33,0.882,0.804,-0.071,0.756
Mexico,66,17.6,486406.0,0.036,2.13,1258286717125.0,11.0,75.0,33.0,0.49,0.414,2.38,126014024.0,0.131,0.551,0.0342,102626859.0,23.634501,-102.552784,Mexico,6.317,0.831,0.862,-0.147,0.799
Jamaica,273,16.1,8225.0,0.039,1.98,16458071068.0,12.4,74.4,80.0,1.33,0.237,1.31,2948279.0,0.268,0.351,0.08,1650594.0,18.109581,-77.297508,Jamaica,6.309,0.877,0.89,-0.137,0.884
Lithuania,43,10.0,12963.0,0.023,1.63,54219315600.0,3.3,75.7,8.0,2.41,0.321,6.35,2786844.0,0.169,0.426,0.0635,1891013.0,55.169438,23.881275,Lithuania,6.255,0.935,0.773,-0.203,0.826
Cyprus,131,10.46,6626.0,0.003,1.33,24564647935.0,1.9,80.8,6.0,,0.439,1.95,1198575.0,0.245,0.224,0.0727,800708.0,35.126413,33.429859,Cyprus,6.223,0.802,0.763,-0.015,0.844
Estonia,31,10.9,16590.0,0.023,1.59,31386949981.0,2.1,78.2,9.0,3.14,0.228,4.48,1331824.0,0.209,0.478,0.0511,916024.0,58.595272,25.013607,Estonia,6.189,0.941,0.909,-0.106,0.527
Panama,58,18.98,10715.0,-0.004,2.46,66800800000.0,13.1,78.3,52.0,1.53,0.305,1.57,4246439.0,,0.372,0.039,2890084.0,8.537981,-80.782127,Panama,6.18,0.896,0.872,-0.166,0.856
Uzbekistan,79,23.3,91811.0,,2.42,57921286440.0,19.1,71.6,29.0,0.24,0.427,2.37,33580650.0,0.148,0.316,0.0592,16935729.0,41.377491,64.585262,Uzbekistan,6.179,0.918,0.97,0.311,0.515
Chile,26,12.43,85822.0,0.026,1.65,282318159745.0,6.2,80.0,13.0,2.0,0.322,2.59,18952038.0,0.182,0.34,0.0709,16610135.0,-35.675147,-71.542969,Chile,6.172,0.882,0.742,-0.044,0.83
Poland,124,10.2,299037.0,0.022,1.46,592164400688.0,3.8,77.6,2.0,2.93,0.232,2.38,37970874.0,0.174,0.408,0.0347,22796574.0,51.919438,19.145136,Poland,6.166,0.898,0.841,-0.165,0.735
Kazakhstan,7,21.77,247207.0,0.052,2.84,180161741180.0,8.8,73.2,10.0,0.41,0.388,3.25,18513930.0,0.117,0.284,0.0459,10652915.0,48.019573,66.923684,Kazakhstan,6.152,0.952,0.853,-0.069,0.733
Romania,84,9.6,69259.0,0.038,1.71,250077444017.0,6.1,75.4,19.0,2.25,0.213,2.98,19356544.0,0.146,0.2,0.0398,10468793.0,45.943161,24.96676,Romania,6.14,0.832,0.845,-0.219,0.938
Kuwait,240,13.94,98734.0,0.011,2.08,134761198946.0,6.7,75.4,12.0,0.95,0.144,2.58,4207083.0,0.014,0.13,0.0218,4207083.0,29.31166,47.481766,Kuwait,6.106,0.843,0.867,-0.104,0.736
Serbia,100,9.2,45221.0,0.018,1.49,51409167351.0,4.8,75.5,12.0,1.57,0.406,3.11,6944975.0,0.186,0.366,0.1269,3907243.0,44.016521,21.005859,Serbia,6.078,0.873,0.778,0.002,0.835
El Salvador,313,18.25,7169.0,0.001,2.04,27022640000.0,11.8,73.1,46.0,0.5,0.279,1.57,6453553.0,0.181,0.364,0.0411,4694702.0,13.794185,-88.89653,El Salvador,6.061,0.762,0.888,-0.11,0.688
Mauritius,626,10.2,4349.0,0.004,1.41,14180444557.0,13.6,74.4,61.0,0.38,0.507,2.53,1265711.0,0.191,0.222,0.0667,515980.0,-20.348404,57.552152,Mauritius,6.049,0.905,0.867,-0.054,0.789
Latvia,30,10.0,7004.0,0.028,1.6,34117202555.0,3.3,74.7,19.0,2.8,0.416,3.19,1912789.0,0.229,0.381,0.0652,1304943.0,56.879635,24.603189,Latvia,6.032,0.927,0.715,-0.162,0.8
Colombia,46,14.88,97814.0,0.035,1.81,323802808108.0,12.2,77.1,83.0,1.23,0.183,2.18,50339443.0,0.144,0.712,0.0971,40827302.0,4.570868,-74.297333,Colombia,6.012,0.847,0.837,-0.135,0.841
Hungary,107,9.6,45537.0,0.033,1.54,160967157504.0,3.6,75.8,12.0,2.62,0.29,3.41,9769949.0,0.23,0.379,0.034,6999582.0,47.162494,19.503304,Hungary,5.992,0.943,0.755,-0.186,0.876
Thailand,137,10.34,283763.0,0.007,1.53,543649976166.0,7.8,76.9,37.0,1.06,0.118,0.81,69625582.0,0.149,0.295,0.0075,35294600.0,15.870032,100.992541,Thailand,5.985,0.888,0.884,0.287,0.895
Nicaragua,55,20.64,5592.0,0.054,2.4,12520915291.0,15.7,74.3,98.0,0.54,0.36,0.98,6545502.0,0.156,0.606,0.0684,3846137.0,12.865416,-85.207229,Nicaragua,5.972,0.864,0.836,0.02,0.664
Japan,347,7.4,1135886.0,0.005,1.42,5081769542380.0,1.8,84.2,5.0,6.77,0.131,2.41,126226568.0,0.119,0.467,0.0229,115782416.0,36.204824,138.252924,Japan,5.94,0.884,0.796,-0.258,0.638
Argentina,17,17.02,201348.0,0.535,2.26,449663446954.0,8.8,76.5,39.0,3.35,0.176,3.96,44938712.0,0.101,1.063,0.0979,41339571.0,-38.416097,-63.616672,Argentina,5.929,0.898,0.828,-0.182,0.834
Portugal,111,8.5,48742.0,0.003,1.38,237686075635.0,3.1,81.3,8.0,3.78,0.277,5.12,10269417.0,0.228,0.398,0.0633,6753579.0,39.399872,-8.224454,Portugal,5.929,0.879,0.892,-0.244,0.887
Honduras,89,21.6,9813.0,0.044,2.46,25095395475.0,15.1,75.1,65.0,1.01,0.491,0.31,9746117.0,0.173,0.391,0.0539,5626433.0,15.199999,-86.241905,Honduras,5.919,0.812,0.857,0.081,0.809
Croatia,73,9.0,17488.0,0.008,1.47,60415553039.0,4.0,78.1,8.0,2.92,0.152,3.0,4067500.0,0.22,0.205,0.0693,2328318.0,45.1,15.2,Croatia,5.882,0.924,0.754,-0.118,0.939
Philippines,368,20.55,122287.0,0.025,2.58,376795508680.0,22.5,71.1,121.0,1.12,0.535,0.6,108116615.0,0.14,0.431,0.0215,50975903.0,12.879721,121.774017,Philippines,5.88,0.83,0.917,-0.097,0.742
South Korea,527,6.4,620302.0,0.004,0.98,2029000000000.0,2.7,82.6,11.0,6.49,0.368,2.36,51709098.0,0.156,0.332,0.0415,42106719.0,35.907757,127.766922,South Korea,5.845,0.799,0.672,-0.083,0.727
Peru,26,17.95,57414.0,0.021,2.25,226848050820.0,11.1,76.5,88.0,1.28,0.309,1.27,32510453.0,0.143,0.368,0.0331,25390339.0,-9.189967,-75.015152,Peru,5.84,0.832,0.822,-0.154,0.891
Bosnia and Herzegovina,64,8.11,21848.0,0.006,1.27,20047848435.0,5.0,77.3,10.0,1.04,0.286,2.16,3301000.0,0.204,0.237,0.1842,1605144.0,43.915886,17.679076,Bosnia and Herzegovina,5.813,0.87,0.706,0.113,0.931
Moldova,123,10.1,5115.0,0.048,1.26,11955435457.0,13.6,71.8,19.0,0.31,0.462,3.21,2657637.0,0.177,0.387,0.0547,1135502.0,47.411631,28.369885,Moldova,5.766,0.857,0.822,-0.079,0.918
Ecuador,71,19.72,41155.0,0.003,2.43,107435665000.0,12.2,76.8,59.0,2.46,0.437,2.04,17373662.0,,0.344,0.0397,11116711.0,-1.831239,-78.183406,Ecuador,5.764,0.821,0.842,-0.124,0.843
Kyrgyzstan,34,27.1,9787.0,0.011,3.3,8454619608.0,16.9,71.4,60.0,0.09,0.482,1.88,6456900.0,0.18,0.29,0.0633,2362644.0,41.20438,74.766098,Kyrgyzstan,5.744,0.893,0.935,0.119,0.908
Greece,81,8.1,62434.0,0.002,1.35,209852761469.0,3.6,81.3,3.0,4.46,0.355,5.48,10716322.0,0.262,0.519,0.1724,8507474.0,39.074208,21.824312,Greece,5.723,0.823,0.582,-0.288,0.823
Bolivia,11,21.75,21606.0,0.018,2.73,40895322865.0,21.8,71.2,155.0,1.36,0.259,1.59,11513100.0,0.17,0.837,0.035,8033035.0,-16.290154,-63.588653,Bolivia,5.716,0.81,0.875,-0.077,0.839
Mongolia,2,24.13,25368.0,0.073,2.9,13852850259.0,14.0,69.7,45.0,0.65,0.393,2.86,3225167.0,0.168,0.257,0.0601,2210626.0,46.862496,103.846656,Mongolia,5.677,0.935,0.708,0.116,0.856
Paraguay,18,20.57,7407.0,0.028,2.43,38145288940.0,17.2,74.1,129.0,1.55,0.365,1.35,7044636.0,0.1,0.35,0.0481,4359150.0,-23.442503,-58.443832,Paraguay,5.653,0.893,0.876,0.028,0.882
